431,Altmarkt,"Altmarkt 1, 01067 DresdenEinfahrt von Wilsdruffer Straße, Einfahrtshöhe max. 2,00 m, Kontakt: servicecenter@q-park.de",13.741789104,51.0506700789,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde ab 2,50 Euro (veränderlicher Satz); Tageshöchstsatz 28,00 Euro; Theaterpauschale 18 bis 23 Uhr 8,00 Euro (Vorauskasse); Parkscheinverlust 84,00 Euro"
403,An der Frauenkirche,"An der Frauenkirche 12a, 01067 DresdenEinfahrt von Schießgasse, Kontakt: 03 51 / 496 06 03, tiefgarage-frauenkirche.dresden@gmx.de",13.7441934672,51.051415072,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde 2,50 Euro; Tag 24 Stunden 28,00 Euro; verlorenes Ticket 84,00 Euro"
422,Frauenkirche / Neumarkt,"Landhausstraße 2, 01067 DresdenEinfahrtshöhe max. 2,0 m, Kontakt: 03 51 / 821 25 58, servicecenter@q-park.de",13.7308651039,51.0590019661,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde 2,50 Euro; Tageshöchstsatz 28,00 Euro; Parkscheinverlust 84,00 Euro"
402,Haus am Zwinger,"Kleine Brüdergasse 3, 01067 DresdenEinfahrtshöhe max. 2,0 m, Kontakt: 07 11 / 30 57 03 05, service@apcoa.de",13.7357788973,51.0514142863,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde ab 2,80 Euro (veränderlicher Satz); Tageshöchstsatz 30,00 Euro"
442,Ostra-Allee,,N/A,N/A,"Montag bis Samstag von 8 bis 20 Uhr je 5 Minuten 0,20 EuroMontag bis Samstag Tagestarif 24 Stunden 12,00 EuroSonntag und Feiertag von 8 bis 20 Uhr je 2 Minuten 0,05 EuroSonntag und Feiertag Tagestarif 6,00 Eurotäglich von 20 bis 8 Uhr gebührenfrei","Montag bis Samstag von 8 bis 20 Uhr je 5 Minuten 0,20 Euro; Montag bis Samstag Tagestarif 24 Stunden 12,00 Euro; Sonntag und Feiertag von 8 bis 20 Uhr je 2 Minuten 0,05 Euro; Sonntag und Feiertag Tagestarif 6,00 Euro; täglich von 20 bis 8 Uhr gebührenfrei"
411,Schießgasse,"Schießgasse, 01067 DresdenKontakt: tiefbauamt-verkehrstechnik@dresden.de",13.7445053432,51.0504295976,von 00:00 Uhr bis 24:00 Uhr,"Montag bis Samstag von 8 bis 20 Uhr je 5 Minuten  0,20 Euro; Montag bis Samstag Tagestarif 24 Stunden 12,00 Euro; Sonntag und Feiertag von 8 bis 20 Uhr je 2 Minuten  0,05 Euro; Sonntag und Feiertag Tagestarif 6,00 Euro; täglich von 20 bis 8 Uhr gebührenfrei"
408,Semperoper,"Devrientstraße, 01067 DresdenEinfahrtshöhe max. 1,95 m, Kontakt: 030 / 31 98 71 555,  kundenservice@contipark.de",13.7339577336,51.0554397704,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde  1,50 Euro, Tag 0 - 24 Uhr  6,00 Euro; P Card je angefangene Stunde  0,80 Euro, Tag  3,50 Euro; Tarif Monat 77,35 Euro; "
401,Taschenbergpalais,"Kleine Brüdergasse 3, 01067 DresdenEinfahrtshöhe max. 2,0 m, Kontakt: 07 11 / 30 57 03 05, service@apcoa.de",13.7353413756,51.0517691273,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde ab 2,90 Euro (veränderlicher Satz); Tageshöchstsatz 30,00 Euro"
455,Freiberger Platz,,N/A,N/A,"Montag bis Samstag von 8 bis 19 Uhr je 2 Minuten  0,05 Euroab 4 Stunden Tagestarf für 24 Stunden  6,00 EuroSonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei","Montag bis Samstag von 8 bis 19 Uhr je 2 Minuten  0,05 Euro; ab 4 Stunden Tagestarf für 24 Stunden  6,00 Euro; Sonntag, Feiertag und täglich von 19 bis 8 Uhr gebührenfrei"
421,Kongresszentrum,"Ostra-Ufer 2, 01067 Dresden",13.731187746,51.0419707134,von 00:00 Uhr bis 24:00 Uhr,"je angefangene Stunde 2,00 Euro; Tageshöchstsatz 20,00 Euro"
